Categoria,Descricao,Valor
Informacoes Gerais,Evento,YouRH Summit POA
Informacoes Gerais,Data,Quinta-feira 16/04/2026 08h00 - 19h00
Informacoes Gerais,Local,Nau Live Spaces
Informacoes Gerais,Periodo Relatorio,18/02 - 20/03
Informacoes Gerais,Ultima Atualizacao,20/03/2026 10:36
Resumo de Vendas,Vendas Liquidas,R$ 249.00
Resumo de Vendas,Ingressos Aprovados,1
Resumo de Vendas,Ticket Medio,R$ 249.00
Evolucao de Vendas,Data,15/03
Evolucao de Vendas,Vendas (R$),R$ 249.00
Evolucao de Vendas,Quantidade de Ingressos,1
Metodos de Pagamento,Pix,100%
Detalhamento de Ingressos,Tipo de Ingresso,1 Lote
Detalhamento de Ingressos,Quantidade,1
Detalhamento de Ingressos,Valor Liquido,R$ 249.00
Codigos Promocionais,Com Codigo Promocional,0.0%
Codigos Promocionais,Sem Codigo Promocional,100.0%
